class_id,fine_label,coarse_id,coarse_label,color_hex
0,apple,4,fruit_and_vegetables,#2E91E5
1,aquarium_fish,1,fish,#E15F99
2,baby,14,people,#1CA71C
3,bear,8,large_carnivores,#FB0D0D
4,beaver,0,aquatic_mammals,#DA16FF
5,bed,6,household_furniture,#222A2A
6,bee,7,insects,#B68100
7,beetle,7,insects,#750D86
8,bicycle,18,vehicles_1,#EB663B
9,bottle,3,food_containers,#511CFB
10,bowl,3,food_containers,#00A08B
11,boy,14,people,#FB00D1
12,bridge,9,large_man-made_outdoor_things,#FC0080
13,bus,18,vehicles_1,#B2828D
14,butterfly,7,insects,#6C7C32
15,camel,11,large_omnivores_and_herbivores,#778AAE
16,can,3,food_containers,#862A16
17,castle,9,large_man-made_outdoor_things,#A777F1
18,caterpillar,7,insects,#620042
19,cattle,11,large_omnivores_and_herbivores,#1616A7
20,chair,6,household_furniture,#DA60CA
21,chimpanzee,11,large_omnivores_and_herbivores,#6C4516
22,clock,5,household_electrical_devices,#0D2A63
23,cloud,10,large_natural_outdoor_scenes,#AF0038
24,cockroach,7,insects,#FD3216
25,couch,6,household_furniture,#00FE35
26,crab,13,non-insect_invertebrates,#6A76FC
27,crocodile,15,reptiles,#FED4C4
28,cup,3,food_containers,#FE00CE
29,dinosaur,15,reptiles,#0DF9FF
30,dolphin,0,aquatic_mammals,#F6F926
31,elephant,11,large_omnivores_and_herbivores,#FF9616
32,flatfish,1,fish,#479B55
33,forest,10,large_natural_outdoor_scenes,#EEA6FB
34,fox,12,medium_mammals,#DC587D
35,girl,14,people,#D626FF
36,hamster,16,small_mammals,#6E899C
37,house,9,large_man-made_outdoor_things,#00B5F7
38,kangaroo,11,large_omnivores_and_herbivores,#B68E00
39,keyboard,5,household_electrical_devices,#C9FBE5
40,lamp,5,household_electrical_devices,#FF0092
41,lawn_mower,19,vehicles_2,#22FFA7
42,leopard,8,large_carnivores,#E3EE9E
43,lion,8,large_carnivores,#86CE00
44,lizard,15,reptiles,#BC7196
45,lobster,13,non-insect_invertebrates,#7E7DCD
46,man,14,people,#FC6955
47,maple_tree,17,trees,#E48F72
48,motorcycle,18,vehicles_1,#AA0DFE
49,mountain,10,large_natural_outdoor_scenes,#3283FE
50,mouse,16,small_mammals,#85660D
51,mushroom,4,fruit_and_vegetables,#782AB6
52,oak_tree,17,trees,#565656
53,orange,4,fruit_and_vegetables,#1C8356
54,orchid,2,flowers,#16FF32
55,otter,0,aquatic_mammals,#F7E1A0
56,palm_tree,17,trees,#E2E2E2
57,pear,4,fruit_and_vegetables,#1CBE4F
58,pickup_truck,18,vehicles_1,#C4451C
59,pine_tree,17,trees,#DEA0FD
60,plain,10,large_natural_outdoor_scenes,#FE00FA
61,plate,3,food_containers,#325A9B
62,poppy,2,flowers,#FEAF16
63,porcupine,12,medium_mammals,#F8A19F
64,possum,12,medium_mammals,#90AD1C
65,rabbit,16,small_mammals,#F6222E
66,raccoon,12,medium_mammals,#1CFFCE
67,ray,1,fish,#2ED9FF
68,road,9,large_man-made_outdoor_things,#B10DA1
69,rocket,19,vehicles_2,#C075A6
70,rose,2,flowers,#FC1CBF
71,sea,10,large_natural_outdoor_scenes,#B00068
72,seal,0,aquatic_mammals,#FBE426
73,shark,1,fish,#FA0087
74,shrew,16,small_mammals,#8dd3c7
75,skunk,12,medium_mammals,#ffffb3
76,skyscraper,9,large_man-made_outdoor_things,#bebada
77,snail,13,non-insect_invertebrates,#fb8072
78,snake,15,reptiles,#80b1d3
79,spider,13,non-insect_invertebrates,#fdb462
80,squirrel,16,small_mammals,#b3de69
81,streetcar,19,vehicles_2,#fccde5
82,sunflower,2,flowers,#d9d9d9
83,sweet_pepper,4,fruit_and_vegetables,#bc80bd
84,table,6,household_furniture,#ccebc5
85,tank,19,vehicles_2,#ffed6f
86,telephone,5,household_electrical_devices,#66c5cc
87,television,5,household_electrical_devices,#f6cf71
88,tiger,8,large_carnivores,#f89c74
89,tractor,19,vehicles_2,#dcb0f2
90,train,18,vehicles_1,#87c55f
91,trout,1,fish,#9eb9f3
92,tulip,2,flowers,#fe88b1
93,turtle,15,reptiles,#c9db74
94,wardrobe,6,household_furniture,#8be0a4
95,whale,0,aquatic_mammals,#b497e7
96,willow_tree,17,trees,#b3b3b3
97,wolf,8,large_carnivores,#88ccee
98,woman,14,people,#cc6677
99,worm,13,non-insect_invertebrates,#ddcc77
